Section Number,Section Title,Items/Lectures,Duration (HH:MM)
Section 1,Course Introduction - AWS Certified Developer Associate,6,0:12
Section 2,Code & Slides Download,1,0:01
Section 3,Getting started with AWS,3,0:13
Section 4,IAM & AWS CLI,21,0:58
Section 5,EC2 Fundamentals,15,1:20
Section 6,EC2 Instance Storage,14,0:56
Section 7,AWS Fundamentals: ELB + ASG,20,1:36
Section 8,AWS Fundamentals: RDS + Aurora + ElastiCache,12,1:06
Section 9,Route 53,21,1:30
Section 10,VPC Fundamentals,7,0:25
Section 11,Amazon S3 Introduction,14,0:48
Section 12,"AWS CLI, SDK, IAM Roles & Policies",9,0:32
Section 13,Advanced Amazon S3,7,0:23
Section 14,Amazon S3 Security,15,0:49
Section 15,CloudFront,13,0:49
Section 16,"ECS, ECR & Fargate - Docker in AWS",18,1:18
Section 17,AWS Elastic Beanstalk,14,0:59
Section 18,AWS CloudFormation,19,1:11
Section 19,"AWS Integration & Messaging: SQS, SNS & Kinesis",22,1:42
Section 20,"AWS Monitoring & Audit: CloudWatch, X-Ray and CloudTrail",30,1:46
Section 21,AWS Serverless: Lambda,49,3:04
Section 22,AWS Serverless: DynamoDB,26,1:46
Section 23,AWS Serverless: API Gateway,22,1:22
Section 24,"AWS CICD: CodeCommit, CodePipeline, CodeBuild, CodeDeploy",19,1:32
Section 25,AWS Serverless: SAM - Serverless Application Model,9,0:35
Section 26,Cloud Development Kit (CDK),6,0:26
Section 27,"Cognito: Cognito User Pools, Cognito Identity Pools & Cognito Sync",9,0:39
Section 28,Other Serverless: Step Functions & AppSync,13,0:58
Section 29,Advanced Identity,5,0:23
Section 30,"AWS Security & Encryption: KMS, Encryption SDK, SSM Parameter...",21,1:09
Section 31,AWS Other Services,12,0:34
Section 32,AWS Final Cleanup,2,0:03
Section 33,Preparing for the Exam - AWS Certified Developer Associate,7,0:21
